Party,Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Ireland,"1.A.2.d  Pulp, Paper and Print",28.44011156,28.31803875,34.47697718,42.02121781,50.7547369,57.10890106,60.74344793,69.24339295,78.30596035,82.85426304,95.45086134,95.28519429,84.27083151,78.14024981,70.96898381,38.22041503,23.8340529,9.039367624,16.91582506,28.95980642,22.17264461,28.85031602,23.29157248,21.42507481,20.91793624,17.22631734,21.78325422,27.42959254,37.66413233,17.06294328,17.62238224,17.13411187
Ireland,"1.A.2.e  Food Processing, Beverages and Tobacco",1017.49603,1083.89843,995.1603429,1059.589861,1114.420372,1129.45435,1100.337857,1214.514045,1237.212645,1272.279556,1518.828527,1527.259432,1279.210383,1128.172872,948.3884774,1077.971238,918.4148409,819.6481812,804.2911113,901.9098276,888.8858218,804.5538661,935.6400702,938.4624046,930.832658,995.8974452,987.3374583,1057.156102,1061.832943,1055.571603,1090.48465,1068.949036
Ireland,2.H.2  Food and Beverages Industry,21.15786479,21.47615305,21.79524462,22.09016993,22.39653328,22.6269257,21.90176628,20.66414714,22.55842373,23.48286545,21.4511896,20.85045168,27.86955346,32.4139406,30.55361063,29.76858578,30.07927039,29.80241788,31.52409799,34.42062109,40.03636819,40.21855243,45.73394082,49.40596981,42.09335309,44.97346729,47.55812776,59.30963651,59.43688895,65.07906736,58.55932023,66.00745916
Italy,"1.A.2.d  Pulp, Paper and Print",3107.504693,3588.899068,3680.295581,3649.803036,4033.69079,4184.631827,4298.501444,4465.483447,4625.7943,4159.983243,4253.070104,4348.90139,4426.027139,4519.073254,4811.272756,5456.604363,5242.189766,5376.871355,5219.966323,5288.762409,5148.373245,5134.567516,5161.936347,4851.327317,4809.623055,4872.490801,4789.199618,5026.829139,4916.003342,4974.859987,4664.706197,5307.827684
Italy,"1.A.2.e  Food Processing, Beverages and Tobacco",3890.640203,4777.510629,5101.383114,4538.888818,4866.228278,5095.411626,5112.606073,5119.577346,5581.335547,6919.40096,6282.372879,6413.664998,6847.450029,6865.27466,6045.59014,6016.519882,5608.542668,5151.089565,5548.421069,4865.978414,4131.969424,3920.868576,3690.035315,3662.957395,3518.646094,3444.117405,3350.261154,3704.984236,3517.111025,3454.503098,3472.044015,3814.714539
Italy,2.H.1  Pulp and Paper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,2.H.2  Food and Beverages Industry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Japan,"1.A.2.d  Pulp, Paper and Print",27106.4535,27510.35162,27391.55135,28251.46477,29496.39357,31428.0641,31392.75117,31299.63509,30443.92189,30918.19098,31672.26413,31255.61615,30964.60872,30575.36702,30850.02389,29732.39195,28097.99545,26853.54475,24985.06734,23473.83687,22646.44474,23317.68177,23811.74946,23832.17463,22898.66731,23307.86151,20846.88021,20488.76113,20429.53784,18983.6336,17870.29099,17727.66164
Japan,"1.A.2.e  Food Processing, Beverages and Tobacco",7649.463951,8081.914743,8580.205392,9077.393711,9300.015643,10133.33864,9958.067612,10343.9836,11096.61829,11557.46158,11468.17088,11881.37394,12342.88945,11996.98776,12413.95049,12169.08418,11852.9679,10810.63306,10004.55581,9847.981751,9829.847931,10784.98604,10535.14841,9810.53431,9520.783843,8470.989645,8413.766595,7761.590977,8737.628742,7688.973212,8189.319803,7988.192237
Japan,2.H.2  Food and Beverages Industry,64.26936,66.77496,65.26989,59.56263,66.79674,71.53767,79.67394,86.09184,86.49495,89.32563,86.5017,78.21639,79.86843,85.32873,86.292,90.05112,87.51969,86.16168,71.54649,71.29323,75.85434,75.80916,76.40865,82.32885,80.43525,83.04489,79.41114,85.07214,80.41365,79.04871,71.09595,73.59795
