sub-sector,inventory,sub_inventory,subinv_units,values,Gas,LS review,Legend
other-fossil-fuel-operations,edgar,edgar,1.A.1.bc Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries,1,ch4,,
other-fossil-fuel-operations,climate-trace,climate-trace,oil-and-gas-production,-1,ch4,,
other-fossil-fuel-operations,climate-trace,climate-trace,oil-and-gas-transport,-1,ch4,,
other-fossil-fuel-operations,climate-trace,climate-trace,oil-and-gas-refining,-1,ch4,,
other-chemicals,ceds,ceds,1A2c_Ind-Comb-Chemicals,1,ch4,,
other-chemicals,edgar,edgar,2.B Chemical Industry,1,ch4,,
other-chemicals,climate-trace,climate-trace,chemicals,-1,ch4,,
other-chemicals,climate-trace,climate-trace,petrochemical-steam-cracking,-1,ch4,,
glass,edgar,edgar,2.A.3 Glass Production,1,ch4,,
glass,ceds-derived,ceds-derived,glass-combustion,1,ch4,,
lime,ceds,ceds,2A2_Lime-production,1,ch4,,
